#
# A7
# 64	A7	Mg/Ca (G.ruber)	Anand et al., 2003 (8)	27.8	127	-1262	110	 Late Spring to Summer	Sun et al., 2005 (59)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
2.000	4.060	1084.000	26.620	587.28	206.38
4.000	4.140	1160.000	26.830	1167.38	42.66
6.000	4.000	1236.000	26.450	1240.86	106.12
8.000	3.920	1312.000	26.220	1313.19	139.13
10.000	4.550	1388.000	27.900	1385.31	161.61
12.000	4.070	1464.000	26.640	1457.30	177.60
14.000	4.020	1540.000	26.500	1529.19	188.75
16.000	4.160	1616.000	26.890	1601.01	195.89
18.000	4.160	1692.000	26.890	1672.76	199.45
20.000	4.110	1768.000	26.750	1744.45	199.60
22.000	3.730	1844.000	25.660	1816.07	196.35
24.000	3.570	1920.000	25.170	1887.62	189.53
26.000	4.120	1996.000	26.780	1959.10	178.71
28.000	3.930	2072.000	26.250	2030.48	163.09
30.000	3.860	2148.000	26.050	2101.74	141.05
32.000	4.200	2224.000	27.000	2172.78	108.66
34.000	3.990	2300.000	26.420	2242.67	46.53
36.000	4.230	2450.000	27.080	2398.26	151.62
38.000	4.360	2600.000	27.420	2552.26	202.03
40.000	4.050	2750.000	26.590	2705.97	236.37
42.000	4.020	2900.000	26.500	2859.50	261.12
44.000	3.830	3050.000	25.960	3012.90	278.87
46.000	4.280	3200.000	27.210	3166.20	290.90
48.000	3.830	3350.000	25.960	3319.42	297.92
50.000	3.670	3500.000	25.480	3472.55	300.29
52.000	3.980	3650.000	26.390	3625.60	298.11
54.000	3.730	3800.000	25.660	3778.57	291.29
56.000	4.030	3950.000	26.530	3931.45	279.50
58.000	3.920	4100.000	26.220	4084.22	262.05
60.000	3.680	4250.000	25.510	4236.87	237.72
62.000	3.850	4400.000	26.020	4389.35	204.05
64.000	4.000	4550.000	26.450	4541.53	155.05
66.000	3.980	4700.000	26.390	4692.13	60.45
68.000	3.960	4850.000	26.340	4853.40	157.26
70.000	4.090	5000.000	26.700	5013.03	206.70
72.000	3.930	5150.000	26.250	5172.35	240.25
74.000	4.200	5300.000	27.000	5331.49	264.03
76.000	3.750	5450.000	25.720	5490.49	280.56
78.000	4.110	5600.000	26.750	5649.39	291.06
80.000	3.870	5750.000	26.080	5808.18	296.19
82.000	4.000	5900.000	26.450	5966.89	296.22
84.000	3.960	6050.000	26.340	6125.50	291.15
86.000	3.600	6200.000	25.260	6284.01	280.71
88.000	3.610	6350.000	25.300	6442.41	264.25
90.000	3.700	6500.000	25.570	6600.68	240.55
92.000	3.860	6650.000	26.050	6758.77	207.12
94.000	4.180	6800.000	26.940	6916.54	157.88
96.000	4.160	6950.000	26.890	7072.68	62.08
98.000	3.520	7100.000	25.010	7196.80	139.53
100.000	3.610	7223.000	25.300	7319.54	179.71
102.000	3.680	7347.000	25.510	7442.01	205.94
104.000	3.640	7470.000	25.390	7564.31	223.23
106.000	3.820	7593.000	25.930	7686.49	233.59
108.000	4.230	7717.000	27.080	7808.55	237.94
110.000	4.370	7840.000	27.440	7930.52	236.61
112.000	3.790	7963.000	25.840	8052.38	229.54
114.000	3.740	8087.000	25.690	8174.12	216.16
116.000	3.900	8210.000	26.160	8295.73	195.22
118.000	3.680	8333.000	25.510	8417.13	163.89
120.000	4.040	8457.000	26.560	8538.10	114.13
122.000	4.050	8580.000	26.590	8631.62	96.22
124.000	3.780	8656.000	25.810	8698.08	127.92
126.000	4.240	8733.000	27.100	8764.20	148.58
128.000	4.010	8809.000	26.480	8830.15	162.37
130.000	4.030	8885.000	26.530	8895.99	170.92
132.000	3.940	8962.000	26.280	8961.73	174.99
