#
# RAPID-12-1K
# 65	RAPID-12-1K	Mg/Ca (G. bulloides)	Thornalley et al., 2009 (60)	62.1	-17.8	-1938	80	 Late Spring to early Summer	Thornalley et al., 2009 (60)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.000	2.385	0.00	10.997	0.00	10
2.000	2.404	62.50	11.078	59.30	85.84
4.000	2.224	125.00	10.299	119.00	114.39
6.000	2.311	187.50	10.682	178.79	131.11
8.000	2.154	250.00	9.980	238.65	140.30
10.000	2.485	312.50	11.409	298.55	143.43
12.000	2.277	375.00	10.536	358.50	140.90
14.000	2.195	437.50	10.167	418.50	132.39
16.000	2.407	500.00	11.091	478.57	116.60
18.000	2.527	562.50	11.576	538.73	89.80
22.000	2.370	698.22	10.937	669.62	99.23
24.000	2.321	771.44	10.727	740.37	132.60
26.000	2.442	844.66	11.236	811.22	155.38
28.000	2.340	917.88	10.806	882.12	171.82
30.000	2.262	991.09	10.470	953.07	183.65
32.000	2.373	1064.31	10.947	1024.04	191.72
34.000	2.367	1137.53	10.922	1095.04	196.49
36.000	2.369	1210.75	10.932	1166.07	198.21
38.000	2.317	1283.97	10.709	1237.13	196.95
40.000	2.345	1357.19	10.830	1308.21	192.66
42.000	2.044	1430.41	9.456	1379.31	185.13
44.000	2.368	1503.63	10.929	1450.45	173.96
46.000	2.244	1576.84	10.388	1521.63	158.37
48.000	2.333	1650.06	10.778	1592.87	136.87
50.000	2.185	1723.28	10.124	1664.20	106.00
52.000	2.355	1796.50	10.873	1736.02	51.80
54.000	2.256	1856.72	10.441	1796.95	100.52
56.000	2.266	1916.94	10.487	1858.25	129.47
60.000	2.098	2037.39	9.716	1981.03	165.76
64.000	2.467	2157.83	11.338	2103.92	186.20
66.000	2.187	2218.06	10.134	2165.40	192.19
68.000	1.955	2278.28	9.009	2226.90	195.74
70.000	2.290	2338.50	10.593	2288.41	196.97
72.000	2.294	2398.72	10.611	2349.94	195.92
74.000	1.941	2458.94	8.941	2411.48	192.55
76.000	2.483	2519.17	11.403	2473.04	186.72
78.000	2.368	2579.39	10.927	2534.62	178.19
80.000	2.120	2639.61	9.821	2596.23	166.54
82.000	2.259	2699.83	10.458	2657.86	151.01
84.000	2.278	2760.06	10.538	2719.53	130.21
86.000	2.013	2820.28	9.305	2781.27	100.83
88.000	2.325	2880.50	10.744	2843.38	47.66
90.000	2.251	2997.21	10.421	2953.07	127.56
92.000	2.087	3113.93	9.662	3063.48	166.90
94.000	2.298	3230.64	10.629	3174.02	193.04
96.000	2.281	3347.36	10.554	3284.65	211.04
98.000	1.889	3464.07	8.669	3395.33	222.91
100.000	2.232	3580.79	10.335	3506.07	229.63
102.000	2.064	3697.50	9.555	3616.85	231.69
104.000	2.561	3814.21	11.709	3727.67	229.21
106.000	2.154	3930.93	9.979	3838.54	222.08
108.000	2.350	4047.64	10.850	3949.46	209.84
110.000	2.156	4164.36	9.989	4060.45	191.57
112.000	2.209	4281.07	10.232	4171.51	165.34
114.000	2.042	4397.79	9.444	4282.71	126.48
116.000	2.479	4514.50	11.383	4394.62	55.49
120.000	2.308	4802.21	10.670	4692.36	190.31
124.000	2.047	5089.93	9.468	4991.01	242.66
126.000	2.121	5233.79	9.824	5140.43	256.98
128.000	2.473	5377.64	11.360	5289.89	265.30
130.000	2.041	5521.50	9.443	5439.39	268.17
132.000	1.958	5665.36	9.027	5588.92	265.73
134.000	2.098	5809.21	9.715	5738.50	257.83
136.000	2.403	5953.07	11.076	5888.12	243.91
140.000	2.212	6240.79	10.246	6187.53	192.19
144.000	1.895	6528.50	8.700	6487.87	51.71
146.000	2.078	6623.66	9.622	6583.09	121.34
148.000	2.295	6718.81	10.615	6678.88	158.33
150.000	2.188	6813.97	10.136	6774.77	183.86
152.000	2.210	6909.13	10.235	6870.72	202.33
154.000	2.019	7004.28	9.331	6966.72	215.58
156.000	2.508	7099.44	11.501	7062.75	224.54
158.000	2.179	7194.59	10.097	7158.81	229.71
160.000	2.153	7289.75	9.975	7254.90	231.35
164.000	2.237	7480.06	10.356	7447.18	224.17
168.000	2.381	7670.38	10.984	7639.58	201.51
172.000	2.107	7860.69	9.759	7832.16	156.78
176.000	2.085	8051.00	9.653	8025.58	45.50
180.000	2.215	8092.15	10.261	8065.28	81.90
184.000	2.336	8133.30	10.791	8105.41	101.26
188.000	2.385	8174.45	10.997	8145.61	112.99
192.000	2.097	8215.60	9.713	8185.88	119.37
196.000	1.990	8256.75	9.190	8226.18	121.27
200.000	2.461	8297.90	11.311	8266.53	118.92
204.000	1.989	8339.05	9.182	8306.93	112.05
208.000	1.998	8380.20	9.230	8347.38	99.74
212.000	2.419	8421.35	11.141	8387.91	79.54
216.000	2.183	8462.50	10.113	8428.86	41.24
220.000	1.996	8527.40	9.218	8491.61	98.69
224.000	2.233	8592.31	10.339	8554.80	130.41
228.000	2.134	8657.21	9.888	8618.07	153.26
232.000	2.302	8722.12	10.644	8681.39	170.84
236.000	1.980	8787.02	9.140	8744.74	184.65
240.000	2.165	8851.93	10.030	8808.11	195.49
244.000	2.135	8916.83	9.893	8871.51	203.84
248.000	1.881	8981.74	8.627	8934.92	209.99
252.000	2.185	9046.64	10.123	8998.35	214.14
256.000	2.293	9111.55	10.607	9061.80	216.40
260.000	2.234	9176.45	10.346	9125.26	216.82
264.000	2.077	9241.36	9.615	9188.73	215.41
272.000	2.207	9371.17	10.221	9315.73	206.94
276.000	2.085	9436.07	9.656	9379.26	199.64
280.000	2.546	9500.98	11.653	9442.81	189.99
284.000	2.181	9565.88	10.105	9506.38	177.61
288.000	2.129	9630.79	9.863	9569.98	161.89
292.000	2.345	9695.69	10.828	9633.63	141.70
296.000	2.701	9760.60	12.242	9697.36	114.73
